Column1,date,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration
139,7/16/1950 3:00,24.669584,12.469583,50329.797,0.033333335,13.809527
140,7/17/1950 3:00,22.644583,14.744583,48445.887,0.7333332,13.362469
141,7/18/1950 3:00,23.094584,14.519584,48220.105,0.083333336,15.473096
142,7/19/1950 3:00,23.56125,15.652917,40671.996,0.53333336,17.273832
143,7/20/1950 3:00,24.694582,15.052917,43840.42,0.13333334,11.6144705
144,7/21/1950 3:00,28.211252,15.336249,50055.55,1.4666667,12.044045
145,7/22/1950 3:00,27.28625,17.269583,40833.605,3.75,9.651518
146,7/23/1950 3:00,22.66125,16.53625,29788.846,10.116666,23.111536
147,7/24/1950 3:00,19.244583,14.994583,34749.58,3.383334,30.300737
148,7/25/1950 3:00,21.53625,14.219583,43697.332,0.4666666,19.223299
149,7/26/1950 3:00,23.29458,14.044582,41117.625,0.73333335,11.377416
150,7/27/1950 3:00,21.294584,14.077916,37915.887,3.3166668,17.443605
151,7/28/1950 3:00,22.677917,11.811249,48343.453,1.0166668,12.276764
152,7/29/1950 3:00,20.477917,12.861251,46664.816,1.5500002,18.336456
153,7/30/1950 3:00,19.902918,11.902916,39396.06,0.083333336,12.611798
154,7/31/1950 3:00,21.677917,12.277916,36642.496,0.3166667,9.92625
155,8/1/1950 3:00,22.827919,14.027917,47733.33,1.5833334,15.360847
156,8/2/1950 3:00,21.169582,13.477917,21212.01,8.5,15.005349
157,8/3/1950 3:00,17.86125,12.91125,39420.12,4.8166666,19.931643
158,8/4/1950 3:00,17.819582,11.652917,26350.242,6.75,22.144735
159,8/5/1950 3:00,22.319586,13.269584,37689.33,1.8166666,16.505678
160,8/6/1950 3:00,23.36125,11.844583,47858.105,0,12.688567
161,8/7/1950 3:00,23.28625,11.986249,48338.094,0.05,12.064332
162,8/8/1950 3:00,23.136251,12.46125,39378.125,0.13333334,9.718025
163,8/9/1950 3:00,24.261248,13.277917,36551.707,0.116666675,9.777091
164,8/10/1950 3:00,26.919584,14.577918,47759.953,0.1,14.768714
165,8/11/1950 3:00,20.844584,14.202916,19574.172,1.4333333,14.429706
166,8/12/1950 3:00,22.03625,13.544583,29067.64,1.9499999,9.868115
167,8/13/1950 3:00,22.761251,14.244583,37054.152,2.8166668,11.861786
168,8/14/1950 3:00,21.652916,14.277917,41656.95,1.5500001,11.29849
169,8/15/1950 3:00,22.352915,12.852917,44101.72,0.15,8.011866
170,8/16/1950 3:00,23.194586,13.527917,33183.21,1.15,15.470932
171,8/17/1950 3:00,22.002916,13.244583,33684.223,4,14.3316345
172,8/18/1950 3:00,19.319584,13.31125,34656.92,5.2500005,20.107122
173,8/19/1950 3:00,20.277918,11.369583,45999.17,0.116666675,11.671794
174,8/20/1950 3:00,22.43625,12.18625,46370.84,0.05,8.356376
175,8/21/1950 3:00,25.977915,12.627915,46378.637,0,10.945989
176,8/22/1950 3:00,27.702917,14.769584,44569.465,0.083333336,8.800964
177,8/23/1950 3:00,29.927917,16.76125,46355.05,0.083333336,12.139928
178,8/24/1950 3:00,27.48625,18.061249,32560.922,7.1333337,14.067714
179,8/25/1950 3:00,24.227915,16.252916,36444.56,1.6833334,10.863828
180,8/26/1950 3:00,27.119583,15.28625,44558.23,1.1666666,15.632224
181,8/27/1950 3:00,24.03625,16.586248,42176.43,0.38333336,12.298226
182,8/28/1950 3:00,25.369585,15.51125,42917.832,1.9333334,11.859658
183,8/29/1950 3:00,20.702917,14.969583,39898.6,3.3333337,24.442122
184,8/30/1950 3:00,20.911251,12.619583,41548.824,0.16666669,19.888762
185,8/31/1950 3:00,22.386251,11.852917,40446.234,0.23333335,10.465941
186,3/1/1951 2:00,2.3612502,-3.4804165,26059.906,0.8,13.547467
187,3/2/1951 2:00,2.3445833,-4.1470833,28146.096,0.43333337,15.403447
188,3/3/1951 2:00,2.2279167,-4.0220833,26354.367,0,18.708948
189,3/4/1951 2:00,3.5779164,-5.1304164,34949.06,0,12.404747
190,3/5/1951 2:00,2.68625,-4.355417,25775.023,0.1,9.022206
191,3/6/1951 2:00,4.9695835,-4.01375,31763.428,0,8.824316
192,3/7/1951 2:00,6.644583,-3.980417,35664.68,0.016666668,17.738298
193,3/8/1951 2:00,5.5362496,-0.8220835,16742.006,0.5166667,22.480524
194,3/9/1951 2:00,2.91125,-0.5054167,7009.7827,2.4833333,20.09044
195,3/10/1951 2:00,4.519583,-1.41375,11970.964,0.7333333,13.806343
196,3/11/1951 2:00,7.6945834,-1.71375,28089.459,1.2999998,16.0834
197,3/12/1951 2:00,8.736249,0.7779166,23599.979,1.6,22.332602
198,3/13/1951 2:00,13.111251,-0.13041668,36764.914,0.93333334,20.418226
199,3/14/1951 2:00,10.48625,4.302917,27249.953,2.8,32.010586
200,3/15/1951 2:00,9.819583,2.61125,26330.12,2.1999998,29.850153
201,3/16/1951 2:00,10.952916,0.27791667,27149.842,0.4,14.002748
202,3/17/1951 2:00,13.43625,6.4612503,7675.9517,8.683333,24.139328
203,3/18/1951 2:00,13.486251,7.244583,22317.305,5.6333337,26.633804
204,3/19/1951 2:00,10.194583,2.5945833,15306.476,4.8500004,28.659948
205,3/20/1951 2:00,5.6029167,-0.5470833,31723.553,3.0666666,21.474802
206,3/21/1951 2:00,5.4445834,-2.91375,39305.703,0.13333334,18.976421
207,3/22/1951 2:00,8.0945835,-1.7804168,12977.953,3.5166667,26.111464
208,3/23/1951 2:00,11.336249,5.469583,10792.263,7.0500007,31.445063
209,3/24/1951 2:00,9.319583,0.4695833,30792.86,7.483333,28.023003
210,3/25/1951 2:00,5.2445836,-2.0304167,37638.258,2.266667,16.894455
211,3/26/1951 3:00,5.294583,-2.4054165,18542.193,3.0166664,26.092669
212,3/27/1951 3:00,7.83625,0.86958337,17007.518,8.416667,28.33912
213,3/28/1951 3:00,5.5779166,-2.13875,38075.273,2.1,24.637207
214,3/29/1951 3:00,5.5779166,-3.347083,39388.14,0.75,11.743325
215,3/30/1951 3:00,8.102916,-3.3054163,31594.475,0.30000004,10.742485
216,3/31/1951 3:00,8.519582,-0.83875006,28628.008,1.7499999,14.48961
217,4/1/1951 3:00,9.977917,0.3279167,30269.553,1.6333333,20.50276
218,4/2/1951 3:00,10.969584,3.4279168,35213.88,2.7833335,21.469345
219,4/3/1951 3:00,9.294583,1.63625,36623.33,2.0333335,17.503227
220,4/4/1951 3:00,11.827915,-0.36374998,36111.496,1.1666666,19.665522
221,4/5/1951 3:00,10.769582,2.8195832,30297.36,0.96666664,17.683058
222,4/6/1951 3:00,13.127917,2.1195831,38312.06,0.26666668,14.252876
223,4/7/1951 3:00,15.552917,4.9779167,33348.555,5.133333,24.662592
224,4/8/1951 3:00,10.094583,4.2195835,33125.195,1.8000001,25.846045
225,4/9/1951 3:00,11.177917,2.8362503,22621.287,4.7666664,25.453127
226,4/10/1951 3:00,9.236249,4.1529164,29139.139,4.5833335,30.015778
227,4/11/1951 3:00,7.969583,1.18625,35099.066,1.4000001,20.707407
228,4/12/1951 3:00,9.852916,-0.76375,42191.312,0.016666668,15.339573
229,4/13/1951 3:00,12.219583,1.53625,34239.52,1.3333334,25.178352
230,4/14/1951 3:00,8.894584,2.03625,38728.887,3.833333,21.773407
231,4/15/1951 3:00,8.952916,-0.42208338,43721.62,0.65000004,16.353745
232,4/16/1951 3:00,14.81125,0.96958333,41760.7,1.0666666,19.763367
233,4/17/1951 3:00,11.76125,3.8445835,43369.19,0.75000006,21.866905
234,4/18/1951 3:00,14.477917,1.3945833,42808.16,0.28333333,11.971612
235,4/19/1951 3:00,14.586249,4.619583,38440.418,0.3166667,16.469313
236,4/20/1951 3:00,11.644582,3.1362503,24513.344,0.05,16.40774
237,4/21/1951 3:00,10.96125,2.0195835,41769.13,0.41666672,17.03128
238,4/22/1951 3:00,11.277916,-0.13041669,46663.543,0,13.50241
239,4/23/1951 3:00,13.877917,0.37791666,46876.066,0,13.21868
240,4/24/1951 3:00,16.519583,1.7529167,46939.14,0,15.095688
241,4/25/1951 3:00,20.877916,3.2279167,47198.895,0,11.1335745
242,4/26/1951 3:00,21.18625,7.96125,44143.2,1.1333333,14.372121
